Genero,Locutor,Tentativa,Fonema,fo,f1,f2,f3
1,5,5,2,105.5,476.26,1463.4,2179.6
1,5,1,3,211.33,282.65,1779,2775.2
1,5,2,3,112.15,265.58,1776.4,2722.8
1,5,3,3,112.66,277.37,1781,2770.9
1,5,4,3,110.87,275.98,1779.8,2689.8
1,5,5,3,111.45,287.2,1821.6,2657.1
1,5,1,4,102.13,517.98,957.03,2094
1,5,2,4,103.55,502.13,933.55,2097.7
1,5,3,4,104.82,527.35,954.15,2314
1,5,4,4,104.01,425.44,927.17,2329.9
1,5,5,4,53.965,529.95,966.16,2572.4
1,5,1,5,116.15,251.07,520.31,1975.4
1,5,2,5,116.45,247.15,563.59,1931.8
1,5,3,5,117.83,224.36,575.57,1945.2
1,5,4,5,121.01,213.16,610.12,1908.5
1,5,5,5,261.05,207.99,624.79,1935.2
